Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck
1,Los Angeles Dodgers,111,51,.685,5.2,3.2,2.1,-0.2,1.8,116-46,-5
2,Houston Astros,106,56,.654,4.5,3.2,1.4,-0.1,1.3,106-56,0
3,Atlanta Braves,101,61,.623,4.9,3.8,1.1,-0.1,1.0,100-62,1
4,New York Mets,101,61,.623,4.8,3.7,1.0,-0.1,1.0,99-63,2
5,New York Yankees,99,63,.611,5.0,3.5,1.5,0.0,1.5,106-56,-7
6,St. Louis Cardinals,93,69,.574,4.8,3.9,0.8,-0.3,0.6,95-67,-2
7,Cleveland Guardians,92,70,.568,4.3,3.9,0.4,-0.1,0.2,88-74,4
8,Toronto Blue Jays,92,70,.568,4.8,4.2,0.6,0.1,0.7,91-71,1
9,Seattle Mariners,90,72,.556,4.3,3.8,0.4,0.0,0.4,89-73,1
10,San Diego Padres,89,73,.549,4.4,4.1,0.3,0.0,0.3,86-76,3
11,Philadelphia Phillies,87,75,.537,4.6,4.2,0.4,0.0,0.4,87-75,0
12,Milwaukee Brewers,86,76,.531,4.5,4.2,0.2,-0.2,0.0,85-77,1
13,Tampa Bay Rays,86,76,.531,4.1,3.8,0.3,0.1,0.4,87-75,-1
14,Baltimore Orioles,83,79,.512,4.2,4.2,-0.1,0.2,0.1,79-83,4
15,Chicago White Sox,81,81,.500,4.2,4.4,-0.2,-0.1,-0.3,78-84,3
16,San Francisco Giants,81,81,.500,4.4,4.3,0.1,0.0,0.1,83-79,-2
17,Minnesota Twins,78,84,.481,4.3,4.2,0.1,-0.1,0.0,82-80,-4
18,Boston Red Sox,78,84,.481,4.5,4.9,-0.3,0.2,-0.1,76-86,2
19,Chicago Cubs,74,88,.457,4.1,4.5,-0.5,-0.1,-0.6,73-89,1
20,Arizona Diamondbacks,74,88,.457,4.3,4.6,-0.2,0.0,-0.2,77-85,-3
21,Los Angeles Angels,73,89,.451,3.8,4.1,-0.3,0.1,-0.1,76-86,-3
22,Miami Marlins,69,93,.426,3.6,4.2,-0.6,0.1,-0.5,70-92,-1
23,Texas Rangers,68,94,.420,4.4,4.6,-0.2,0.1,-0.1,77-85,-9
24,Colorado Rockies,68,94,.420,4.3,5.4,-1.1,0.1,-1.0,65-97,3
25,Detroit Tigers,66,96,.407,3.4,4.4,-1.0,0.0,-1.0,63-99,3
26,Kansas City Royals,65,97,.401,4.0,5.0,-1.0,0.1,-1.0,64-98,1
27,Pittsburgh Pirates,62,100,.383,3.6,5.0,-1.4,0.0,-1.4,58-104,4
28,Cincinnati Reds,62,100,.383,4.0,5.0,-1.0,-0.1,-1.1,64-98,-2
29,Oakland Athletics,60,102,.370,3.5,4.8,-1.2,0.2,-1.0,59-103,1
30,Washington Nationals,55,107,.340,3.7,5.3,-1.6,0.1,-1.4,56-106,-1